, Black and White,Color,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,duration,gross,budget,title_year,imdb_score,aspect_ratio,director_name_Barry Levinson,director_name_Brian De Palma,director_name_Chris Columbus,director_name_Clint Eastwood,director_name_Joel Schumacher,director_name_Martin Scorsese,director_name_Michael Bay,director_name_Oliver Stone,director_name_Renny Harlin,director_name_Richard Donner,director_name_Ridley Scott,director_name_Rob Reiner,director_name_Robert Rodriguez,director_name_Robert Zemeckis,director_name_Ron Howard,director_name_Shawn Levy,director_name_Spike Lee,director_name_Steven Soderbergh,director_name_Steven Spielberg,director_name_Tim Burton,director_name_Tony Scott,director_name_Woody Allen,actors_Anthony Hopkins,actors_Bill Murray,actors_Brad Pitt,actors_Bruce Willis,actors_Christian Bale,actors_Denzel Washington,actors_Harrison Ford,actors_J.K. Simmons,actors_Jim Broadbent,actors_Johnny Depp,actors_Julia Roberts,actors_Liam Neeson,actors_Matt Damon,actors_Matthew McConaughey,actors_Meryl Streep,actors_Morgan Freeman,actors_Nicolas Cage,actors_Robert De Niro,actors_Robert Downey Jr.,actors_Robin Williams,actors_Scarlett Johansson,actors_Steve Buscemi,actors_Tom Cruise,actors_Tom Hanks,actors_Will Ferrell,genre_,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_Game-Show,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Reality-TV,genre_Romance,genre_Sci-Fi,genre_Short,genre_Sport,genre_Thriller,genre_War,genre_Western,country_Australia,country_Canada,country_China,country_France,country_Germany,country_Hong Kong,country_India,country_Italy,country_Japan,country_Mexico,country_New Zealand,country_Russia,country_South Korea,country_Spain,country_UK,country_USA,content_rating_Approved,content_rating_G,content_rating_GP,content_rating_M,content_rating_NC-17,content_rating_Not Rated,content_rating_PG,content_rating_PG-13,content_rating_Passed,content_rating_R,content_rating_TV-14,content_rating_TV-G,content_rating_TV-MA,content_rating_TV-PG,content_rating_TV-Y,content_rating_TV-Y7,content_rating_Unrated,content_rating_X,0
Superman Returns ,0,1,434.0,0.0,903.0,18000.0,240396.0,29991.0,0.0,2367.0,10000.0,0.0,169.0,200069408.0,209000000.0,2006.0,6.1,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9572698947368421
Quantum of Solace ,0,1,403.0,395.0,393.0,451.0,330784.0,2023.0,1.0,1243.0,412.0,0.0,106.0,168368427.0,200000000.0,2008.0,6.7,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.841842135
Pirates of the Caribbean: Dead Man's Chest ,0,1,313.0,563.0,1000.0,40000.0,522040.0,48486.0,2.0,1832.0,5000.0,5000.0,151.0,423032628.0,225000000.0,2006.0,7.3,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8801450133333333
The Lone Ranger ,0,1,450.0,563.0,1000.0,40000.0,181792.0,45757.0,1.0,711.0,2000.0,48000.0,150.0,89289910.0,215000000.0,2013.0,6.5,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4153019069767442
Man of Steel ,0,1,733.0,0.0,748.0,15000.0,548573.0,20495.0,0.0,2536.0,3000.0,118000.0,143.0,291021565.0,225000000.0,2013.0,7.2,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2934291777777778
The Chronicles of Narnia: Prince Caspian ,0,1,258.0,80.0,201.0,22000.0,149922.0,22697.0,4.0,438.0,216.0,0.0,150.0,141614023.0,225000000.0,2008.0,6.6,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6293956577777777
Pirates of the Caribbean: On Stranger Tides ,0,1,448.0,252.0,1000.0,40000.0,370704.0,54083.0,4.0,484.0,11000.0,58000.0,136.0,241063875.0,250000000.0,2011.0,6.7,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9642555
Men in Black 3 ,0,1,451.0,188.0,718.0,10000.0,268154.0,12572.0,1.0,341.0,816.0,40000.0,106.0,179020854.0,225000000.0,2012.0,6.8,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.79564824
The Hobbit: The Battle of the Five Armies ,0,1,422.0,0.0,773.0,5000.0,354228.0,9152.0,0.0,802.0,972.0,65000.0,164.0,255108370.0,250000000.0,2014.0,7.5,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.02043348
The Amazing Spider-Man ,0,1,599.0,464.0,963.0,15000.0,451803.0,28489.0,0.0,1225.0,10000.0,56000.0,153.0,262030663.0,230000000.0,2012.0,7.0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.139263752173913
Robin Hood ,0,1,343.0,0.0,738.0,891.0,211765.0,3244.0,0.0,546.0,882.0,17000.0,156.0,105219735.0,200000000.0,2010.0,6.7,2.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.526098675
The Hobbit: The Desolation of Smaug ,0,1,509.0,0.0,773.0,5000.0,483540.0,9152.0,6.0,951.0,972.0,83000.0,186.0,258355354.0,225000000.0,2013.0,7.9,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1482460177777778
The Golden Compass ,0,1,251.0,129.0,1000.0,16000.0,149019.0,24106.0,2.0,666.0,6000.0,0.0,113.0,70083519.0,180000000.0,2007.0,6.1,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.38935288333333334
Titanic ,0,1,315.0,0.0,794.0,29000.0,793059.0,45223.0,0.0,2528.0,14000.0,26000.0,194.0,658672302.0,200000000.0,1997.0,7.7,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.29336151
Captain America: Civil War ,0,1,516.0,94.0,11000.0,21000.0,272670.0,64798.0,0.0,1022.0,19000.0,72000.0,147.0,407197282.0,250000000.0,2016.0,8.2,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.628789128
Battleship ,0,1,377.0,532.0,627.0,14000.0,202382.0,26679.0,0.0,751.0,10000.0,44000.0,131.0,65173160.0,209000000.0,2012.0,5.9,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3118333014354067
Jurassic World ,0,1,644.0,365.0,1000.0,3000.0,418214.0,8458.0,0.0,1290.0,2000.0,150000.0,124.0,652177271.0,150000000.0,2015.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.347848473333333
Spider-Man 2 ,0,1,300.0,0.0,4000.0,24000.0,411164.0,43388.0,1.0,1303.0,11000.0,0.0,135.0,373377893.0,200000000.0,2004.0,7.3,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.866889465
Iron Man 3 ,0,1,608.0,1000.0,3000.0,21000.0,557489.0,30426.0,3.0,1187.0,4000.0,95000.0,195.0,408992272.0,200000000.0,2013.0,7.2,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.04496136
X-Men: The Last Stand ,0,1,334.0,420.0,560.0,20000.0,383427.0,21714.0,0.0,1912.0,808.0,0.0,104.0,234360014.0,210000000.0,2006.0,6.8,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1160000666666667
Monsters University ,0,1,376.0,37.0,760.0,12000.0,235025.0,14863.0,0.0,265.0,779.0,44000.0,104.0,268488329.0,200000000.0,2013.0,7.3,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342441645
Transformers: Revenge of the Fallen ,0,1,366.0,0.0,464.0,894.0,323207.0,3218.0,0.0,1439.0,581.0,0.0,150.0,402076689.0,200000000.0,2009.0,6.0,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.010383445
Transformers: Age of Extinction ,0,1,378.0,0.0,808.0,974.0,242420.0,3988.0,2.0,918.0,956.0,56000.0,165.0,245428137.0,210000000.0,2014.0,5.7,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1687054142857143
Oz the Great and Powerful ,0,1,525.0,0.0,11000.0,44000.0,175409.0,73441.0,4.0,511.0,15000.0,60000.0,130.0,234903076.0,215000000.0,2013.0,6.4,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.092572446511628
The Amazing Spider-Man 2 ,0,1,495.0,464.0,825.0,15000.0,321227.0,28631.0,0.0,1067.0,10000.0,41000.0,142.0,202853933.0,200000000.0,2014.0,6.7,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.014269665
Cars 2 ,0,1,304.0,487.0,776.0,1000.0,101178.0,4482.0,0.0,283.0,919.0,10000.0,106.0,191450875.0,200000000.0,2011.0,6.3,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957254375
Green Lantern ,0,1,436.0,258.0,326.0,16000.0,223393.0,17657.0,2.0,550.0,368.0,24000.0,123.0,116593191.0,200000000.0,2011.0,5.6,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.582965955
